Motorista,Dist_km,Preco_R$,Atraso_min,Regiao,Pagamento
Gabi Costa,3.8,109.98,7.0,Centro,Cartão
Kai Rodrigues,11.8,22.9,26.0,Zona Oeste,Cartão
,20.3,35.48,40.0,Zona Sul,Cartão
João Silva,3.2,149.16,24.0,Zona Oeste,Pix
Carla Almeida,26.2,53.45,35.0,Zona Sul,Cartão
Gabi Lima,1.3,35.18,24.0,Zona Leste,Dinheiro
João Costa,1.7,48.02,9.0,Zona Norte,Cartão
Ana Rodrigues,15.4,44.53,27.0,Zona Oeste,Dinheiro
Bruno Costa,,122.09,15.0,Zona Leste,Dinheiro
Diego Oliveira,32.8,29.65,0.0,,Pix
Diego Costa,11.0,147.65,17.0,Zona Leste,Pix
Iris Almeida,18.8,123.94,28.0,Centro,Dinheiro
Carla Pereira,16.7,43.87,16.0,Zona Norte,Pix
Iris Santos,27.7,46.08,23.0,Zona Leste,Pix
Ana Pereira,26.4,137.49,18.0,Centro,Cartão
Carla Souza,10.4,97.8,38.0,Zona Norte,Cartão
Kai Costa,2.2,17.4,31.0,Zona Leste,Dinheiro
Kai Costa,11.8,138.26,29.0,Zona Leste,Dinheiro
Fê Santos,25.8,159.39,8.0,,Pix
Kai Ferreira,22.9,140.91,31.0,Centro,Dinheiro
Carla Silva,28.2,131.55,1.0,Zona Sul,Dinheiro
Fê Pereira,,155.18,12.0,Zona Leste,Dinheiro
João Lima,4.5,90.57,2.0,Zona Oeste,Cartão
Edu Silva,5.3,114.66,27.0,Centro,Cartão
Fê Santos,25.5,38.87,13.0,Zona Leste,Pix
João Souza,0.8,29.25,35.0,Zona Oeste,Pix
Kai Lima,33.1,46.67,4.0,Zona Leste,Pix
Edu Lima,3.2,39.84,1.0,Zona Oeste,Cartão
Edu Silva,4.0,133.42,30.0,Centro,Dinheiro
Bruno Souza,14.0,72.89,10.0,Zona Oeste,Pix
Hugo Santos,4.0,68.57,23.0,Zona Oeste,Dinheiro
Diego Silva,24.6,79.48,27.0,Zona Norte,Cartão
Bruno Costa,28.6,154.5,5.0,Zona Sul,Pix
Edu Costa,,7.12,26.0,Zona Oeste,Pix
,,78.92,19.0,Zona Leste,Pix
João Rodrigues,26.8,150.59,32.0,Centro,Cartão
Kai Santos,20.6,65.62,19.0,Zona Leste,Cartão
Edu Pereira,14.6,137.29,11.0,Zona Oeste,
Gabi Rodrigues,4.4,,23.0,Zona Leste,Pix
,32.3,108.45,26.0,Zona Sul,
Bruno Santos,5.5,46.75,22.0,Zona Norte,Dinheiro
João Silva,2.4,7.63,18.0,Zona Norte,Dinheiro
Hugo Pereira,20.7,126.43,10.0,Zona Oeste,Pix
,12.9,93.33,10.0,,
Hugo Souza,19.9,153.68,7.0,Zona Sul,Cartão
Bruno Ferreira,3.0,95.63,32.0,Zona Norte,Cartão
Lia Souza,27.9,88.31,21.0,Zona Norte,Cartão
Lia Rodrigues,24.2,106.2,17.0,Zona Norte,Dinheiro
Carla Rodrigues,7.4,62.93,10.0,Zona Oeste,Cartão
