Motorista,Dist_km,Preco_R$,Atraso_min,Regiao,Pagamento
Carla Souza,33.9,146.78,35.0,Centro,Pix
Carla Pereira,23.5,81.41,34.0,Centro,Pix
Carla Ferreira,,153.6,27.0,Zona Leste,Cartão
Gabi Santos,30.7,132.41,4.0,Centro,Dinheiro
Bruno Lima,,7.87,3.0,Zona Leste,Cartão
Fê Rodrigues,15.1,157.27,1.0,Zona Oeste,Pix
Kai Santos,18.2,130.56,33.0,Zona Oeste,
Ana Souza,30.7,102.82,,Zona Sul,Pix
Gabi Silva,21.6,13.14,4.0,,Dinheiro
Edu Costa,4.5,146.16,16.0,Zona Leste,Cartão
Iris Santos,12.9,116.41,16.0,Zona Oeste,
Kai Santos,5.8,87.77,10.0,,Cartão
Edu Souza,9.4,11.58,36.0,,Cartão
Gabi Lima,32.3,25.74,1.0,Zona Sul,
Fê Oliveira,28.5,,19.0,Centro,Cartão
João Rodrigues,22.4,25.03,11.0,,Dinheiro
Fê Lima,19.4,106.42,20.0,Zona Sul,Dinheiro
Ana Rodrigues,18.5,83.1,1.0,Zona Sul,Pix
Lia Almeida,21.7,141.97,30.0,Zona Leste,Dinheiro
Lia Santos,6.8,139.01,6.0,Zona Sul,Cartão
Bruno Silva,0.6,44.73,4.0,Centro,Pix
Bruno Oliveira,19.9,73.63,19.0,Centro,
Lia Rodrigues,34.7,9.98,5.0,Zona Norte,Dinheiro
Kai Silva,20.9,,11.0,,Cartão
Carla Lima,14.4,37.53,38.0,Zona Leste,Dinheiro
Gabi Almeida,6.2,141.75,20.0,Zona Norte,Cartão
Diego Costa,32.7,120.15,26.0,Zona Oeste,Dinheiro
Diego Oliveira,3.9,39.63,14.0,Zona Norte,Cartão
Diego Oliveira,30.8,116.26,,Centro,Cartão
Gabi Silva,30.5,8.12,14.0,Zona Norte,Pix
Gabi Ferreira,17.0,51.67,39.0,Centro,Dinheiro
João Ferreira,15.7,21.45,40.0,Zona Oeste,Pix
Fê Pereira,3.9,159.9,39.0,Zona Sul,
João Santos,4.3,155.64,,Zona Norte,Dinheiro
Hugo Santos,20.9,143.12,14.0,Zona Sul,Cartão
Hugo Souza,8.8,140.17,12.0,Zona Leste,
Fê Santos,1.6,137.2,31.0,Zona Sul,Pix
,26.0,,28.0,,Cartão
Gabi Pereira,22.9,70.24,26.0,Zona Norte,
Diego Silva,13.8,128.14,33.0,Zona Norte,Dinheiro
Carla Ferreira,34.2,95.64,19.0,Zona Leste,Pix
Kai Silva,6.0,123.31,40.0,Zona Oeste,Pix
,19.5,53.67,10.0,Centro,Pix
Kai Lima,12.4,149.13,34.0,Zona Norte,Dinheiro
João Rodrigues,30.9,105.05,37.0,Centro,Pix
Iris Ferreira,19.3,,13.0,Zona Sul,Dinheiro
Kai Costa,21.8,94.43,16.0,Centro,Cartão
João Ferreira,3.6,41.43,29.0,Zona Oeste,Dinheiro
Hugo Souza,20.8,63.61,11.0,Centro,Dinheiro
Kai Souza,11.0,129.16,25.0,Centro,Dinheiro
Kai Souza,30.0,94.77,1.0,Zona Norte,Pix
Edu Costa,27.7,13.84,24.0,Zona Norte,Pix
Gabi Silva,21.8,42.07,23.0,Zona Leste,Dinheiro
Carla Ferreira,23.2,46.62,29.0,Zona Leste,Pix
Diego Costa,22.1,77.32,17.0,Zona Sul,Pix
Fê Ferreira,16.9,112.09,19.0,Centro,Pix
Gabi Oliveira,7.7,,16.0,Zona Oeste,Cartão
Ana Costa,33.8,128.62,9.0,Zona Leste,
Edu Silva,,130.42,38.0,Zona Norte,Dinheiro
Lia Lima,15.3,48.95,14.0,Zona Leste,Pix
Kai Oliveira,29.2,136.27,15.0,Zona Sul,Pix
Edu Ferreira,8.3,70.97,,Zona Sul,Dinheiro
Fê Santos,28.0,110.54,1.0,Centro,Pix
Hugo Costa,15.8,100.59,30.0,Centro,Pix
Ana Rodrigues,22.0,151.4,20.0,Zona Leste,Pix
Bruno Almeida,13.4,89.27,0.0,Zona Sul,Cartão
,33.2,73.96,14.0,Zona Leste,
João Oliveira,27.7,28.43,,Centro,Dinheiro
Kai Oliveira,11.3,114.52,38.0,Zona Sul,Dinheiro
Edu Costa,5.7,102.81,1.0,Zona Leste,Dinheiro
Kai Almeida,34.7,37.13,34.0,Zona Leste,
,16.4,41.34,34.0,Zona Leste,Dinheiro
Iris Pereira,7.4,27.22,23.0,Zona Leste,Pix
Ana Souza,12.6,131.32,22.0,Zona Oeste,Pix
Carla Pereira,30.6,,27.0,Zona Sul,Pix
Iris Almeida,6.9,154.33,33.0,Zona Norte,Cartão
João Silva,30.0,68.63,4.0,Zona Norte,Cartão
Hugo Oliveira,19.0,19.71,31.0,Centro,Dinheiro
Bruno Oliveira,33.0,127.5,2.0,Zona Oeste,Pix
Ana Silva,16.2,120.26,21.0,,Pix
Gabi Silva,17.8,44.8,0.0,Centro,Dinheiro
Fê Rodrigues,1.5,72.9,5.0,Zona Sul,Cartão
Fê Santos,8.5,31.78,35.0,Zona Leste,Pix
João Souza,10.7,40.43,30.0,Zona Sul,Dinheiro
Diego Lima,6.2,12.02,1.0,Zona Norte,Cartão
Gabi Silva,29.4,46.54,10.0,Zona Leste,Cartão
Gabi Oliveira,7.1,105.94,28.0,Centro,Pix
Hugo Costa,34.9,145.56,20.0,Zona Leste,Dinheiro
Gabi Ferreira,29.9,103.59,37.0,Zona Norte,Cartão
Iris Pereira,4.2,98.33,25.0,Zona Sul,Pix
Fê Lima,16.2,146.86,8.0,Zona Sul,Pix
,11.7,71.87,4.0,Zona Oeste,Dinheiro
Lia Oliveira,33.7,132.99,25.0,Zona Oeste,Pix
Ana Costa,24.8,89.51,27.0,Zona Leste,Pix
Iris Oliveira,3.1,131.97,23.0,Centro,Cartão
Fê Santos,30.5,138.3,27.0,Zona Sul,
Diego Pereira,5.3,63.23,,Zona Leste,Dinheiro
Gabi Rodrigues,27.8,34.93,3.0,Zona Oeste,Dinheiro
Iris Oliveira,25.5,45.29,18.0,Zona Norte,Dinheiro
Diego Souza,5.5,50.44,26.0,Zona Leste,Pix
João Rodrigues,14.0,154.14,,Zona Leste,Pix
Hugo Oliveira,26.8,131.28,38.0,Zona Leste,Cartão
Gabi Almeida,8.7,118.14,35.0,Zona Sul,Pix
Bruno Santos,17.9,51.04,1.0,Zona Norte,Cartão
Diego Pereira,20.0,141.65,,Centro,Dinheiro
Kai Souza,10.6,103.51,36.0,,Dinheiro
Kai Rodrigues,23.1,55.65,22.0,Zona Sul,Dinheiro
Fê Souza,3.6,82.92,7.0,Zona Oeste,Pix
Diego Silva,30.6,15.7,14.0,Centro,Dinheiro
Gabi Lima,27.3,9.65,,Centro,Pix
Diego Silva,16.0,,14.0,Centro,Cartão
Carla Silva,0.5,,4.0,Zona Norte,Cartão
Bruno Pereira,,33.5,18.0,Zona Leste,Cartão
Iris Oliveira,9.4,125.63,,,Pix
Diego Costa,18.7,,38.0,Zona Norte,Dinheiro
Lia Ferreira,,142.06,8.0,Zona Norte,Cartão
Lia Rodrigues,26.7,31.97,17.0,Zona Norte,Cartão
Iris Souza,12.1,116.99,27.0,Centro,Pix
Kai Almeida,4.8,41.47,5.0,Centro,Dinheiro
Gabi Santos,26.7,82.27,10.0,Centro,Cartão
Gabi Ferreira,11.2,99.22,22.0,Zona Norte,Pix
Edu Pereira,24.1,29.15,20.0,Zona Leste,Cartão
Fê Oliveira,3.5,44.45,19.0,Centro,Cartão
Ana Souza,2.7,156.79,11.0,Zona Norte,Pix
Bruno Souza,13.3,40.75,,Zona Norte,Pix
,11.0,105.49,,Zona Norte,Cartão
Lia Costa,23.9,156.55,5.0,Zona Oeste,Dinheiro
Bruno Rodrigues,5.6,111.33,36.0,Zona Oeste,Pix
Diego Ferreira,23.4,129.64,36.0,,
Diego Almeida,11.0,26.19,34.0,Zona Leste,Cartão
Gabi Pereira,9.0,158.68,29.0,,
Fê Almeida,14.7,111.03,32.0,Zona Oeste,Pix
,9.9,87.88,15.0,Zona Oeste,Pix
Iris Silva,31.8,73.1,18.0,Centro,Pix
