Aluno,Turma,Nota,Presenca_%,Entrega_no_prazo,Projeto
Fê Ferreira,T1,8.9,71.0,,C
Fê Lima,,8.3,42.0,SIM,B
Ana Costa,T1,9.6,74.0,SIM,C
,T4,3.8,80.0,NAO,C
Edu Almeida,T4,0.1,62.0,SIM,B
Hugo Oliveira,T4,4.2,69.0,NAO,C
Gabi Souza,T4,6.7,84.0,NAO,
Lia Lima,T2,8.0,54.0,,A
Hugo Ferreira,T4,1.1,64.0,NAO,C
Iris Souza,T2,1.3,44.0,SIM,B
Carla Silva,T2,1.2,,SIM,C
Hugo Souza,T4,8.6,73.0,NAO,A
Iris Almeida,T4,5.6,89.0,NAO,A
Kai Souza,T3,4.2,56.0,NAO,A
Ana Silva,,8.7,65.0,SIM,C
Diego Oliveira,T2,3.5,41.0,NAO,A
,T1,9.8,70.0,NAO,B
,T1,0.3,95.0,NAO,A
Hugo Ferreira,T3,8.5,71.0,NAO,B
Edu Souza,T3,7.6,62.0,NAO,A
Lia Oliveira,T1,,43.0,NAO,C
Bruno Pereira,T3,6.0,62.0,NAO,C
Kai Silva,T2,4.8,96.0,SIM,B
Iris Lima,T4,8.8,74.0,SIM,A
Ana Costa,T2,5.3,,NAO,A
Iris Almeida,T1,9.3,53.0,SIM,C
Gabi Oliveira,,3.5,74.0,NAO,
Fê Silva,T4,1.8,49.0,,
Hugo Costa,T1,1.4,59.0,NAO,C
Iris Santos,T4,4.2,91.0,SIM,C
Kai Rodrigues,T1,6.1,57.0,SIM,B
Ana Costa,,3.6,89.0,NAO,
João Santos,T2,9.3,90.0,NAO,C
Diego Oliveira,T1,3.2,50.0,NAO,C
,T1,9.1,72.0,NAO,B
Lia Pereira,T4,4.7,76.0,SIM,B
Gabi Silva,T4,7.1,65.0,NAO,B
Edu Oliveira,,2.8,51.0,SIM,
Gabi Costa,T3,5.3,42.0,,
Hugo Oliveira,T3,9.1,60.0,NAO,B
Fê Silva,T2,7.6,47.0,SIM,A
Hugo Rodrigues,T1,1.8,100.0,NAO,B
Bruno Rodrigues,T1,7.8,81.0,SIM,C
Carla Rodrigues,,,45.0,,C
Hugo Costa,T3,2.4,85.0,SIM,C
João Costa,T1,4.2,87.0,NAO,B
Edu Souza,T2,4.5,62.0,SIM,B
Ana Pereira,T4,7.8,85.0,NAO,A
Hugo Pereira,T4,5.7,84.0,NAO,A
Lia Santos,T2,7.6,78.0,,C
Hugo Ferreira,T2,4.9,41.0,NAO,C
Diego Silva,,6.9,68.0,NAO,B
João Almeida,T2,5.0,58.0,NAO,B
Fê Almeida,,9.7,84.0,NAO,C
Hugo Costa,T3,7.1,69.0,SIM,A
Carla Lima,T3,,81.0,NAO,A
Lia Santos,T1,,48.0,NAO,B
Lia Oliveira,T4,7.4,,SIM,C
Kai Santos,T4,4.4,75.0,SIM,B
Gabi Costa,,4.3,72.0,SIM,B
Ana Silva,T4,2.0,75.0,NAO,A
Edu Santos,T4,,63.0,NAO,B
Carla Costa,T4,5.1,49.0,SIM,B
Gabi Rodrigues,,9.6,86.0,SIM,A
Kai Lima,T3,9.3,,SIM,B
Bruno Lima,T2,5.0,88.0,SIM,B
Diego Lima,T1,3.4,82.0,SIM,A
