Motorista,Dist_km,Preco_R$,Atraso_min,Regiao,Pagamento
João Santos,31.9,43.87,8.0,Zona Sul,Pix
João Santos,7.4,103.82,36.0,Zona Oeste,Dinheiro
Ana Ferreira,7.5,156.76,37.0,Zona Leste,Pix
Fê Oliveira,,44.81,18.0,Centro,Dinheiro
Lia Lima,31.8,44.57,24.0,Centro,Dinheiro
,3.2,75.49,40.0,,Dinheiro
Bruno Lima,14.2,27.71,0.0,Zona Sul,Cartão
Lia Oliveira,19.9,90.89,5.0,Zona Norte,Pix
Fê Lima,11.5,14.52,8.0,Zona Leste,Dinheiro
Gabi Rodrigues,14.6,120.79,16.0,Zona Sul,Dinheiro
João Rodrigues,16.0,134.43,40.0,Zona Norte,Cartão
Bruno Souza,29.4,159.47,14.0,Zona Norte,Cartão
Ana Souza,13.5,136.2,21.0,Zona Sul,Pix
Kai Pereira,35.0,72.47,27.0,Zona Oeste,Pix
,,17.25,28.0,Zona Norte,Pix
Kai Santos,,35.48,20.0,Zona Leste,Cartão
Lia Almeida,8.4,84.05,29.0,Zona Sul,Dinheiro
,5.3,51.26,12.0,Zona Norte,Dinheiro
,26.2,69.93,2.0,Zona Sul,Pix
Iris Costa,6.8,103.37,4.0,Zona Leste,Pix
Gabi Almeida,25.6,104.48,39.0,Zona Sul,Dinheiro
Diego Oliveira,24.9,,35.0,Centro,Dinheiro
João Lima,6.1,33.6,38.0,Centro,Dinheiro
Iris Ferreira,5.6,130.18,25.0,Zona Leste,Dinheiro
Hugo Silva,29.9,,36.0,Centro,
Lia Rodrigues,9.2,10.94,2.0,Zona Leste,Cartão
Hugo Costa,15.2,136.46,6.0,Centro,Cartão
Diego Costa,6.3,,28.0,Zona Norte,Dinheiro
,26.2,117.64,15.0,Zona Oeste,Dinheiro
Fê Oliveira,32.1,89.09,7.0,Zona Leste,Dinheiro
Diego Almeida,6.2,58.44,28.0,Zona Oeste,Dinheiro
Edu Ferreira,23.0,149.72,29.0,Centro,
Kai Rodrigues,5.6,124.55,29.0,Zona Norte,Cartão
