Aluno,Turma,Nota,Presenca_%,Entrega_no_prazo,Projeto
Carla Santos,T2,3.9,69.0,NAO,C
Hugo Oliveira,T3,2.8,81.0,NAO,C
Diego Santos,T2,6.5,81.0,SIM,C
Kai Almeida,T3,5.1,,SIM,B
Kai Lima,T4,10.0,60.0,NAO,C
Kai Pereira,T2,2.0,71.0,SIM,C
Gabi Lima,T1,5.5,48.0,SIM,
Diego Costa,,,97.0,SIM,C
Hugo Souza,T1,9.4,91.0,NAO,A
Kai Almeida,,2.0,80.0,NAO,C
Kai Silva,T4,5.1,69.0,NAO,A
Fê Almeida,T2,8.5,53.0,NAO,C
Fê Pereira,T3,0.3,50.0,SIM,B
,T3,9.0,60.0,NAO,B
,T2,,,,A
Bruno Ferreira,T1,6.2,43.0,SIM,
Carla Pereira,T1,4.6,60.0,NAO,B
Hugo Costa,T2,,40.0,SIM,C
Ana Oliveira,T4,1.5,41.0,SIM,A
Bruno Silva,,9.9,46.0,SIM,
Kai Silva,T4,,72.0,SIM,C
Bruno Costa,T3,5.6,94.0,,C
Fê Rodrigues,T4,4.7,73.0,SIM,B
João Costa,T2,6.6,47.0,NAO,C
Edu Lima,T3,0.9,47.0,NAO,A
Gabi Oliveira,T3,4.2,68.0,SIM,C
João Pereira,T4,4.9,,NAO,C
Lia Santos,T1,3.4,54.0,,B
Lia Pereira,T3,,90.0,SIM,B
Kai Souza,T1,7.8,40.0,NAO,A
João Pereira,T1,7.6,51.0,NAO,
Iris Santos,T3,2.0,71.0,SIM,B
Fê Silva,T1,0.6,,NAO,C
Diego Pereira,,,88.0,SIM,C
Diego Lima,T1,0.2,,SIM,B
Fê Silva,T2,3.3,89.0,SIM,B
Carla Almeida,T1,5.4,90.0,NAO,B
Bruno Oliveira,T4,1.0,41.0,SIM,C
Kai Souza,T1,8.7,50.0,SIM,A
Lia Ferreira,T4,3.3,62.0,SIM,A
Gabi Costa,T4,9.3,43.0,NAO,C
Kai Oliveira,T4,6.9,56.0,NAO,A
Lia Rodrigues,T3,1.6,100.0,SIM,B
Fê Oliveira,T1,7.8,65.0,NAO,B
Gabi Ferreira,T3,6.5,85.0,NAO,C
Lia Santos,T4,,49.0,NAO,
Iris Costa,T3,6.6,54.0,SIM,C
Fê Pereira,T3,0.2,88.0,NAO,A
Hugo Rodrigues,T1,8.9,62.0,NAO,
Edu Pereira,T3,5.7,52.0,SIM,B
Hugo Pereira,T3,6.5,85.0,SIM,
Edu Silva,T3,8.3,64.0,NAO,B
Gabi Almeida,T4,9.1,89.0,SIM,A
Fê Santos,T2,0.1,54.0,SIM,C
Lia Oliveira,,5.6,100.0,NAO,A
Carla Costa,T1,9.7,,SIM,C
Iris Almeida,T1,8.9,83.0,SIM,
Diego Pereira,T1,7.6,58.0,SIM,C
Iris Ferreira,T2,6.5,78.0,SIM,B
Fê Pereira,T4,5.9,67.0,NAO,A
Edu Silva,T3,4.5,,NAO,A
Ana Costa,T3,7.7,42.0,SIM,C
,T3,7.3,66.0,NAO,A
Kai Souza,T1,0.7,67.0,SIM,B
Fê Ferreira,T4,8.4,47.0,SIM,A
Carla Santos,T2,5.5,90.0,SIM,A
Diego Ferreira,T1,3.8,83.0,SIM,A
,T1,1.6,46.0,SIM,C
Fê Santos,T3,,77.0,SIM,C
,T4,9.7,92.0,SIM,A
Lia Souza,T1,1.9,43.0,SIM,A
Iris Costa,T2,3.8,,SIM,B
Hugo Oliveira,,0.5,48.0,SIM,
Bruno Pereira,T3,1.3,61.0,NAO,B
Gabi Rodrigues,T2,5.5,62.0,NAO,C
Kai Silva,T3,5.7,61.0,NAO,B
Bruno Pereira,T4,8.8,77.0,NAO,A
Lia Lima,T4,4.3,,SIM,B
Edu Rodrigues,T3,3.3,97.0,SIM,
,T4,4.2,55.0,NAO,A
João Rodrigues,T3,7.2,77.0,NAO,C
Ana Almeida,T1,9.1,78.0,NAO,B
Fê Santos,,6.8,70.0,SIM,A
Fê Santos,T1,0.5,41.0,NAO,
Diego Santos,T2,2.3,56.0,NAO,B
Hugo Souza,,0.5,,NAO,
Lia Costa,T4,8.8,72.0,SIM,C
Ana Oliveira,T2,6.5,44.0,NAO,
Bruno Souza,T4,2.1,76.0,NAO,A
João Almeida,T3,6.8,67.0,SIM,B
Gabi Pereira,T1,,74.0,SIM,B
Kai Souza,T2,3.0,70.0,SIM,B
Bruno Ferreira,T4,2.6,45.0,,B
