Motorista,Dist_km,Preco_R$,Atraso_min,Regiao,Pagamento
Fê Oliveira,17.3,34.07,23.0,Zona Sul,Dinheiro
Hugo Silva,28.9,,12.0,,Pix
Hugo Costa,16.1,19.71,,Zona Leste,
Carla Oliveira,18.7,91.89,10.0,Zona Sul,Pix
Lia Almeida,26.8,145.05,36.0,Zona Leste,Pix
Gabi Almeida,11.1,75.72,19.0,Zona Leste,
Kai Souza,22.5,6.91,26.0,Zona Sul,Dinheiro
Carla Silva,18.4,155.35,9.0,Zona Norte,Pix
Iris Lima,27.6,72.23,3.0,Zona Oeste,Dinheiro
Bruno Ferreira,2.2,,12.0,Zona Oeste,Pix
Bruno Costa,31.7,102.98,7.0,Zona Leste,Cartão
Kai Rodrigues,30.7,140.34,18.0,Zona Sul,Pix
,16.9,152.18,11.0,Zona Leste,Dinheiro
Carla Rodrigues,5.3,7.25,7.0,Zona Norte,Pix
Carla Ferreira,9.2,58.11,9.0,Zona Sul,Cartão
Lia Ferreira,23.6,111.65,4.0,Zona Oeste,Dinheiro
Edu Almeida,21.9,11.88,18.0,,Dinheiro
Ana Pereira,19.4,65.69,,Zona Sul,Pix
João Lima,21.8,139.38,32.0,Zona Norte,Cartão
Iris Santos,12.0,59.16,33.0,Centro,Dinheiro
Hugo Oliveira,19.3,,34.0,Zona Norte,Dinheiro
Iris Pereira,1.6,20.76,30.0,Centro,
Lia Lima,9.0,126.0,11.0,Zona Leste,Cartão
João Silva,20.9,77.8,21.0,Zona Oeste,Dinheiro
Lia Lima,27.8,121.55,26.0,Zona Oeste,Pix
Lia Almeida,13.9,,11.0,Centro,
Gabi Costa,12.8,156.85,28.0,Zona Sul,Pix
Iris Ferreira,17.5,91.63,17.0,Zona Oeste,
Iris Silva,3.7,,28.0,Zona Norte,Pix
Gabi Santos,12.2,,28.0,Zona Norte,Cartão
,28.3,91.85,4.0,Zona Sul,Dinheiro
Hugo Lima,31.4,35.05,16.0,Zona Norte,Pix
Iris Souza,,90.05,1.0,Zona Sul,Cartão
Diego Pereira,,146.73,,Zona Sul,Pix
Edu Santos,6.1,34.87,6.0,Zona Leste,Cartão
,24.3,124.21,26.0,Zona Sul,Dinheiro
Iris Santos,5.2,111.66,36.0,Zona Leste,Pix
Edu Ferreira,34.4,65.63,3.0,Zona Norte,Pix
Gabi Almeida,32.6,112.5,0.0,,Pix
Fê Almeida,2.4,18.43,31.0,Zona Oeste,Cartão
,2.3,108.8,37.0,Centro,Cartão
Iris Pereira,,49.72,35.0,Zona Sul,Dinheiro
Carla Pereira,16.5,82.44,21.0,Zona Norte,Pix
Ana Rodrigues,9.8,72.95,2.0,Zona Oeste,Cartão
Kai Pereira,31.7,11.92,0.0,Zona Sul,Pix
Hugo Silva,9.1,,5.0,Zona Leste,Pix
Fê Silva,,158.58,36.0,Centro,Dinheiro
Diego Almeida,,109.67,34.0,Zona Norte,Cartão
Ana Lima,,40.38,28.0,Zona Norte,Pix
Carla Lima,16.5,36.66,37.0,Zona Oeste,Cartão
Carla Pereira,5.6,67.47,35.0,Zona Oeste,Pix
Gabi Rodrigues,4.2,104.16,34.0,Zona Sul,Pix
Diego Pereira,28.4,86.47,33.0,Centro,Dinheiro
,14.2,148.35,10.0,Zona Norte,Dinheiro
Carla Souza,10.7,,21.0,Zona Leste,Pix
,16.2,6.27,29.0,,Pix
Bruno Ferreira,32.6,12.4,28.0,Zona Oeste,Cartão
Fê Souza,27.5,144.9,29.0,Zona Oeste,Dinheiro
Carla Costa,29.6,17.35,3.0,Zona Leste,Dinheiro
Bruno Costa,29.6,46.1,16.0,Zona Norte,Dinheiro
Hugo Pereira,21.6,41.57,36.0,Zona Norte,Cartão
Edu Rodrigues,2.4,67.87,10.0,Centro,Dinheiro
Bruno Ferreira,,111.86,9.0,Zona Sul,Cartão
Carla Almeida,22.7,110.63,11.0,Centro,Pix
Edu Rodrigues,22.6,130.56,8.0,Zona Sul,Pix
Diego Ferreira,29.0,84.6,,Zona Oeste,Cartão
Kai Almeida,24.2,126.58,2.0,Zona Leste,Dinheiro
João Rodrigues,28.6,75.51,2.0,Zona Oeste,Cartão
Fê Almeida,32.8,97.57,17.0,Centro,Cartão
Carla Santos,,,13.0,Zona Oeste,
Bruno Silva,17.1,152.95,4.0,Zona Oeste,Pix
Carla Costa,34.0,54.67,32.0,Zona Sul,Dinheiro
Diego Rodrigues,30.3,9.49,16.0,Zona Sul,Pix
Diego Lima,17.3,144.65,36.0,Zona Oeste,Pix
Diego Silva,12.9,65.78,10.0,Zona Leste,Dinheiro
,23.7,6.96,7.0,Zona Sul,Cartão
Edu Lima,32.4,98.43,3.0,Zona Sul,Cartão
Hugo Silva,1.0,75.71,4.0,Zona Oeste,Cartão
João Pereira,14.5,157.82,23.0,Zona Oeste,Cartão
Lia Santos,15.2,44.66,29.0,Zona Norte,Pix
Carla Almeida,8.1,19.23,3.0,Zona Oeste,Pix
Lia Lima,9.0,70.77,32.0,Centro,Pix
Iris Oliveira,13.9,69.38,21.0,Zona Oeste,Cartão
Iris Pereira,20.9,73.4,17.0,Zona Norte,Pix
Diego Rodrigues,12.4,57.4,13.0,Zona Leste,Pix
Kai Rodrigues,11.8,78.76,14.0,Zona Norte,Cartão
